Gene	Phenotype	N SVs	N Long-Range	N Coding	SVid	Long-Range	Coding
CORO1A	neurodevelopmental	6	1	5	U83,U87,U88,U90,U91,U93	U88	U83,U87,U90,U91,U93
SCARF2	head_neck	5	1	5	U126,U128,U129,U132,U133	U129	U126,U128,U129,U132,U133
TBX1	head_neck	5	0	5	U126,U128,U129,U132,U133		U126,U128,U129,U132,U133
DGCR8	head_neck	5	0	5	U126,U128,U129,U132,U133		U126,U128,U129,U132,U133
GP1BB	head_neck	5	0	5	U126,U128,U129,U132,U133		U126,U128,U129,U132,U133
MEF2C	neurodevelopmental	5	4	1	DGAP131,DGAP191,DGAP218,DGAP301,ROC1	DGAP131,DGAP191,DGAP218,ROC1	DGAP301
SCARF2	cardiovascular	4	0	4	U125,U128,U131,U132		U125,U128,U131,U132
DGCR8	cardiovascular	4	0	4	U125,U128,U131,U132		U125,U128,U131,U132
SATB2	neurodevelopmental	4	3	1	DGAP237,DGAP249,NIJ12,U20	DGAP237,DGAP249,NIJ12	U20
GABRB3	neurodevelopmental	4	1	3	DGAP278,U59,U64,U65	DGAP278	U59,U64,U65
GABRA5	neurodevelopmental	4	1	3	DGAP278,U59,U64,U65	DGAP278	U59,U64,U65
UBE3A	neurodevelopmental	4	1	3	DGAP278,U59,U64,U65	DGAP278	U59,U64,U65
DGCR8	neurodevelopmental	4	4	0	U124,U129,U130,U134	U124,U129,U130,U134	
MAPK8IP2	neurodevelopmental	4	0	4	U139,U140,U141,U142		U139,U140,U141,U142
SBF1	neurodevelopmental	4	1	3	U139,U140,U141,U142	U142	U139,U140,U141
KDM6A	head_neck	3	1	2	DGAP100,DGAP153,DGAP202	DGAP153	DGAP100,DGAP202
MEF2C	head_neck	3	2	1	DGAP131,DGAP222,DGAP301	DGAP131,DGAP222	DGAP301
NDP	neurodevelopmental	3	3	0	DGAP100,DGAP153,DGAP202	DGAP100,DGAP153,DGAP202	
RBM8A	neurodevelopmental	3	1	2	DGAP199,U3,U4	DGAP199	U3,U4
FLNA	neurodevelopmental	3	3	0	U153,U154.1,U154.2	U153,U154.1,U154.2	
MECP2	neurodevelopmental	3	3	0	U153,U154.1,U154.2	U153,U154.1,U154.2	
HCFC1	neurodevelopmental	3	2	1	U153,U154.1,U154.2	U153,U154.1	U154.2
TUBB3	neurodevelopmental	3	1	2	U22.2,U96,U97	U96	U22.2,U97
HERC2	neurodevelopmental	3	0	3	U59,U64,U65		U59,U64,U65
NSD1	head_neck	2	1	1	DGAP100,UTR21	DGAP100	UTR21
PTCH1	head_neck	2	1	1	DGAP152,U43	DGAP152	U43
TBX15	head_neck	2	2	0	DGAP199,DGAP292	DGAP199,DGAP292	
NOTCH2	head_neck	2	1	1	DGAP199,DGAP292	DGAP292	DGAP199
PHGDH	head_neck	2	2	0	DGAP199,DGAP292	DGAP199,DGAP292	
AUTS2	head_neck	2	0	2	DGAP201,ROC17		DGAP201,ROC17
DICER1	head_neck	2	2	0	DGAP223,DGAP287	DGAP223,DGAP287	
GSC	head_neck	2	2	0	DGAP223,DGAP287	DGAP223,DGAP287	
FOXG1	head_neck	2	2	0	DGAP245,NIJ1	DGAP245,NIJ1	
SOX9	head_neck	2	2	0	DGAP288,UTR8	DGAP288,UTR8	
SATB2	head_neck	2	1	1	NIJ12,U20	NIJ12	U20
